time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
Februari,37.5705,141.9581,59.65,4.6,mb,5.41464,136,3.169,0.56,us
Februari,37.6475,141.6251,62.44,4.3,mb,5.27706,79,2.945,0.59,us
Februari,37.4871,141.5323,43.66,5.1,mww,5.1,55,2.822,0.67,us
Februari,37.6254,141.6781,53.2,4.4,mb,5.32064,146,2.977,0.64,us
Februari,37.5961,141.7507,54.56,4.6,mb,5.41464,143,3.021,0.7,us
Februari,37.639,141.6213,57,4.2,mb,5.23576,150,2.939,1.12,us
Februari,34.1472,135.1647,10,4.4,mb,5.32064,77,1.148,0.84,us
Februari,37.7035,141.7326,43.48,4.2,mb,5.23576,140,1.919,0.5,us
Februari,37.676,141.5722,62.9,4.4,mb,5.32064,135,1.818,0.4,us
Februari,37.4864,141.5837,35.36,5.3,mwr,5.3,46,1.678,0.6,us
Februari,37.5475,141.3336,30.18,5.4,mww,5.4,40,1.602,0.59,us
Februari,37.9528,140.7831,55.38,4.3,mb,5.27706,181,2.49,1.08,us
Februari,29.9725,131.1367,24.1,4.9,mb,5.57274,138,1.641,0.55,us
Februari,38.3386,141.9324,41.44,4.6,mb,5.41464,130,2.537,0.94,us
Februari,37.6339,141.6242,52.12,4.6,mb,5.41464,117,1.811,0.58,us
Februari,35.1237,137.2372,43.82,4.2,mb,5.23576,90,0.282,0.66,us
Februari,37.7686,141.6103,58.15,4.5,mb,5.3665,135,2.98,0.48,us
Februari,42.0186,142.5205,69.05,4.1,mb,5.19674,123,0.474,0.37,us
Februari,40.8178,142.0999,55.62,4.2,mb,5.23576,134,0.786,0.6,us
Februari,37.5557,141.784,50.43,4.3,mb,5.27706,159,3.033,0.96,us
Februari,37.5982,141.5928,62.83,4.3,mb,5.27706,136,2.904,0.88,us
Februari,37.6557,141.7382,49.09,4.8,mb,5.51776,91,3.034,1.21,us
Februari,40.2022,141.275,10,4.8,mb,5.51776,144,0.608,0.49,us
Februari,40.7273,142.7148,32.27,5,mww,5,117,1.255,0.88,us
Februari,37.6469,141.6624,52.89,4.5,mb,5.3665,135,2.973,0.92,us
Februari,37.3713,141.4066,51.14,4.5,mb,5.3665,110,1.499,0.99,us
Februari,38.3681,141.7812,66.26,4.3,mb,5.27706,217,2.48,0.47,us
Februari,34.0842,141.376,10,4.5,mb,5.3665,143,1.622,0.81,us
Februari,43.144,145.7044,63.74,4.4,mb,5.32064,166,2.193,0.68,us
Februari,37.5869,141.6054,42.26,4.4,mb,5.32064,129,2.91,1.21,us
Februari,37.5961,141.6489,56.65,4.6,mb,5.41464,139,2.945,0.88,us
Februari,37.5967,141.677,51.46,4.4,mb,5.32064,78,1.81,0.69,us
Februari,41.0534,142.0645,64.15,4.6,mb,5.41464,117,0.802,0.49,us
Februari,33.3454,141.7357,14.56,4.4,mb,5.32064,143,1.627,0.45,us
Februari,37.3334,141.2909,66.85,4.6,mb,5.41464,139,2.592,0.85,us
Februari,37.7161,141.9713,52.5,4.6,mwr,4.6,98,3.148,1.15,us
Februari,30.1656,131.1,30.18,5.1,mb,5.68954,79,1.45,0.59,us
Februari,30.0044,131.4782,24.92,4.6,mb,5.41464,123,1.74,0.6,us
Februari,30.1537,131.1755,35,4.7,mb,5.46506,121,1.487,0.7,us
Maret,42.1519,144.3451,25.64,4.6,mb,5.41464,134,0.894,0.8,us
Maret,33.6489,141.4957,10,4.2,mb,5.23576,230,1.504,0.86,us
Maret,37.4863,141.9702,51.87,4.5,mb,5.3665,164,3.154,0.41,us
Maret,32.9633,139.9432,144.53,4.4,mb,5.32064,149,0.186,0.5,us
Maret,32.7234,138.9062,10,4.2,mb,5.23576,123,0.857,0.95,us
Maret,37.556,141.8261,55.95,4.3,mb,5.27706,161,3.065,0.55,us
Maret,35.7794,140.899,35,4.3,mb,5.27706,139,2.31,0.66,us
Maret,41.0539,143.2146,32.73,4.4,mb,5.32064,142,0.961,0.85,us
Maret,42.0318,142.4684,62.24,4.6,mb,5.41464,137,1.629,0.59,us
Maret,29.8361,142.1261,10,4.5,mb,5.3665,115,2.73,0.57,us
Maret,41.8075,142.5554,68.22,4.3,mb,5.27706,150,1.515,0.69,us
Maret,43.6717,140.6727,207.1,4.4,mb,5.32064,103,1.458,1.02,us
Maret,36.3449,140.8482,54.84,4.2,mb,5.23576,157,2.137,0.85,us
Maret,37.6188,141.5923,63.32,4.2,mb,5.23576,88,2.911,1.05,us
Maret,42.0856,142.3906,49.99,4.5,mb,5.3665,120,1.634,0.41,us
Maret,41.5604,142.0154,61.15,4.4,mb,5.32064,162,1.052,0.39,us
Maret,37.7704,141.6617,55.46,4.6,mb,5.41464,135,3.018,0.53,us
Maret,38.7899,141.5555,83.29,4.9,mb,5.57274,94,2.032,0.56,us
Maret,40.1456,137.8304,279.61,4.6,mb,5.41464,59,2.549,0.81,us
Maret,30.8459,137.7817,453.76,4.3,mb,5.27706,76,2.833,0.7,us
Maret,39.4604,143.5744,10,4.3,mb,5.27706,130,2.337,0.99,us
Maret,42.2815,141.2499,123.46,4.1,mb,5.19674,150,1.497,0.81,us
Maret,40.267,142.3387,51.85,4.9,mb,5.57274,72,1.102,0.65,us
Maret,32.5713,130.5588,15.47,4.5,mb,5.3665,108,1.062,0.7,us
Maret,34.0323,135.2027,35,4.7,mb,5.46506,46,1.143,0.73,us
Maret,36.1742,139.7703,56.38,5,mb,5.63,90,0.971,0.77,us
Maret,37.6781,141.6127,45.92,5,mww,5,40,2.947,0.84,us
Maret,40.2316,142.3856,39.72,4.5,mwr,4.5,83,1.151,0.65,us
Maret,45.5115,142.1155,301.99,4.1,mb,5.19674,111,1.433,0.8,us
Maret,38.4515,141.6477,43,7,mww,7,35,2.378,0.75,us
Maret,38.3296,141.8316,61.11,4.6,mb,5.41464,137,2.527,0.77,us
Maret,30.4542,131.033,49.22,4.9,mb,5.57274,126,1.163,0.79,us
Maret,38.2272,141.8137,61.43,4.3,mb,5.27706,161,2.623,0.77,us
Maret,39.5929,143.5279,10,4.2,mb,5.23576,126,2.233,0.89,us
Maret,37.6046,141.8953,54.53,4.7,mb,5.46506,133,3.133,0.78,us
Maret,35.7096,140.4525,56.66,4.5,mb,5.3665,120,1.997,0.45,us
Maret,32.1802,140.9371,35,4.3,mb,5.27706,119,1.329,0.88,us
Maret,29.5006,132.1538,10,4.8,mb,5.51776,60,2.482,0.7,us
Maret,42.0345,142.8001,54.83,4.2,mb,5.23576,102,0.266,0.81,us
Maret,29.9446,142.0537,10,4.4,mb,5.32064,135,2.84,0.29,us
Maret,38.3358,141.8412,73.22,4.2,mb,5.23576,155,2.522,0.87,us
Maret,29.1231,141.091,70.08,4.2,mb,5.23576,128,2.238,0.86,us
Maret,33.6313,140.2781,40,5.7,mww,5.7,18,0.644,0.85,us
Maret,33.5339,140.5066,47.69,4.1,mb,5.19674,139,0.714,1.15,us
Maret,42.0553,142.5553,59.13,4.4,mb,5.32064,94,0.45,0.54,us
Maret,31.0203,140.898,64.67,4.4,mb,5.32064,124,2.282,0.71,us
Maret,36.2312,141.9429,35,4.6,mb,5.41464,132,3.028,0.57,us
Maret,33.1419,139.2247,174.53,4.3,mb,5.27706,77,0.469,0.72,us
April,41.523,142.0404,47.68,4.8,mb,5.51776,111,0.969,0.91,us
April,42.3214,144.2899,47.03,4.2,mb,5.23576,173,0.896,0.65,us
April,29.1546,142.5018,46.45,4.5,mb,5.3665,129,2.07,0.67,us
April,33.4136,141.2818,29.49,4.3,mb,5.27706,145,1.265,0.62,us
April,37.6834,141.9822,51.65,4.2,mb,5.23576,139,3.182,0.96,us
April,38.9269,142.1217,41.84,4.6,mb,5.41464,134,2.03,0.37,us
April,43.494,144.0915,17.39,4.4,mb,5.32064,147,1.251,1.24,us
April,34.629,137.6038,10,4.5,mb,5.3665,61,0.479,0.69,us
April,33.3896,140.5657,67.43,4.6,mb,5.41464,101,0.686,0.67,us
April,40.9894,143.2281,29.66,4.1,mb,5.19674,151,1.026,0.45,us
April,43.058,145.6071,53.07,4.6,mb,5.41464,104,2.089,0.4,us
April,38.0568,142.3068,25.06,4.2,mb,5.23576,138,2.893,0.72,us
April,33.4639,141.088,41.23,4.4,mb,5.32064,135,1.122,0.46,us
April,35.7057,140.4473,56.34,4.4,mb,5.32064,155,1.994,0.15,us
April,39.9911,141.6293,72.22,4.3,mb,5.27706,184,0.906,1.16,us
April,37.836,141.7453,62.32,4.3,mb,5.27706,129,2.996,1.06,us
April,29.2909,129.4062,10,5.2,mww,5.2,68,2.388,0.64,us
April,29.3154,129.3775,10,4.4,mb,5.32064,108,2.375,0.79,us
April,29.3042,129.3737,10,4.3,mb,5.27706,109,2.387,0.95,us
April,29.1918,129.6108,10,4.3,mb,5.27706,113,2.421,0.69,us
April,29.1432,129.8486,17.65,5.1,mww,5.1,80,2.415,1,us
April,29.2951,129.5271,10,5.1,mww,5.1,104,2.347,0.58,us
April,29.3331,129.4402,10,4.9,mb,5.57274,106,2.338,0.94,us
April,29.3534,129.2878,10,4.4,mb,5.32064,108,2.372,0.68,us
April,29.2827,129.4947,10,4.2,mb,5.23576,111,2.368,0.88,us
April,29.2049,129.6366,10,4.2,mb,5.23576,130,2.402,1.22,us
April,29.2546,129.5446,10,4.7,mb,5.46506,112,2.38,0.74,us
April,29.3518,129.3413,10,4.6,mb,5.41464,90,2.354,0.55,us
April,29.3342,129.4744,10,4.7,mb,5.46506,111,2.326,0.67,us
April,29.2271,129.3731,10,4.6,mb,5.41464,90,2.458,0.62,us
April,43.2188,145.4408,73.07,4.2,mb,5.23576,182,2.07,0.54,us
April,29.3701,129.3632,10,4.6,mb,5.41464,107,2.33,0.51,us
April,29.2647,129.4618,10,4.4,mb,5.32064,110,2.395,0.76,us
April,29.3872,129.3098,10,4.8,mb,5.51776,107,2.334,0.81,us
April,29.334,129.4207,10,4.6,mb,5.41464,91,2.344,0.59,us
April,36.1374,140.0881,73.42,4.7,mb,5.46506,137,1.569,0.68,us
April,29.3324,129.4965,10,5.2,mww,5.2,101,2.321,0.63,us
April,29.2537,129.4954,10,4.6,mb,5.41464,160,2.395,0.5,us
April,29.3437,129.4471,10,4.6,mb,5.41464,128,2.326,0.51,us
April,33.6848,135.2652,10,4.4,mb,5.32064,97,1.158,0.81,us
April,36.5073,137.7686,10,4.3,mb,5.27706,102,0.352,1.02,us
April,41.5492,141.9384,57.04,4.4,mwr,4.4,117,1.005,0.57,us
April,29.37,129.2778,10,4.4,mb,5.32064,89,2.361,0.71,us
April,38.0913,142.5561,37.84,4.3,mb,5.27706,108,2.931,0.79,us
April,39.5135,143.2807,10,4.2,mb,5.23576,158,2.123,0.85,us
April,41.5709,142.0811,68.74,4.3,mb,5.27706,127,0.918,0.65,us
April,42.3226,140.6145,42.77,4.4,mb,5.32064,69,1.568,0.78,us
April,38.3078,142.0674,51.72,4.5,mb,5.3665,139,2.596,0.52,us
April,35.6298,140.4877,53.25,4.3,mb,5.27706,132,2.057,0.56,us
April,38.3481,141.95,41,5.6,mww,5.6,40,2.532,0.89,us
April,38.2543,141.8817,31.43,5.6,mb,6.02144,41,2.609,0.72,us
April,38.0695,141.4995,56.37,4.9,mb,5.57274,104,2.737,1.27,us
April,37.671,141.6793,67.51,4.3,mb,5.27706,148,2.994,0.83,us
April,36.3374,138.5331,169.27,4.8,mb,5.51776,60,0.331,0.79,us
April,30.0736,138.3967,455.87,4.1,mb,5.19674,99,3.264,0.72,us
April,31.632,140.9907,61.29,4.6,mb,5.41464,113,1.783,0.77,us
April,37.2918,140.9047,66.57,4.3,mb,5.27706,205,2.286,0.38,us
April,30.5094,131.3683,27.31,4.5,mb,5.3665,118,1.269,0.86,us
April,30.5954,137.691,486.15,4.4,mb,5.32064,66,3.094,0.72,us
April,29.3698,129.3107,10,4.3,mb,5.27706,139,2.349,0.89,us
April,34.2928,142.1394,10,4.2,mb,5.23576,161,2.266,1.04,us
April,36.3449,140.4431,98.26,4.3,mb,5.27706,147,1.812,0.73,us
April,39.9659,142.0031,66.49,4.6,mb,5.41464,134,1.091,0.85,us
April,34.7518,141.7226,28.34,4.3,mb,5.27706,117,2.276,0.7,us
April,33.5899,140.2275,96.1,4.1,mb,5.19674,117,0.586,0.78,us
April,36.9072,144.068,35.71,4.1,mb,5.19674,147,4.53,0.93,us
April,41.3119,143.0529,35.86,4.2,mb,5.23576,164,0.706,0.8,us
April,33.8776,136.442,387.54,4.4,mb,5.32064,44,1.546,0.75,us
April,40.6788,144.9557,10,4.1,mb,5.19674,258,1.901,0.31,us
Mei,39.4976,140.5824,142.11,4.5,mb,5.3665,96,1.342,0.63,us
Mei,38.1997,141.5973,43,6.9,mww,6.9,35,2.619,0.82,us
Mei,29.6465,141.4551,43.17,4.3,mb,5.27706,121,2.621,0.38,us
Mei,33.091,140.1021,139.24,4,mb,5.16,127,0.243,0.63,us
Mei,29.534,141.0495,64.21,4.3,mb,5.27706,126,2.627,0.61,us
Mei,30.2365,138.7697,432.84,4.1,mb,5.19674,88,3.004,0.61,us
Mei,42.6509,142.9561,88.31,4.4,mb,5.32064,115,0.652,0.63,us
Mei,30.4453,131.4185,35,4.6,mb,5.41464,128,1.346,0.52,us
Mei,37.1861,141.8522,9.5,5,mww,5,60,2.991,0.68,us
Mei,42.3956,144.5788,35,4.3,mb,5.27706,133,1.122,0.76,us
Mei,40.2048,143.4012,10,4.6,mb,5.41464,150,1.817,0.91,us
Mei,32.6931,130.6038,10,4.4,mb,5.32064,102,1.187,0.52,us
Mei,42.2956,142.4364,82.88,4.3,mb,5.27706,71,0.604,0.78,us
Mei,31.5573,131.2714,57.51,4.3,mb,5.27706,120,0.7,0.95,us
Mei,31.9824,140.3369,87.97,5.1,mww,5.1,42,1.213,1,us
Mei,39.8472,143.8948,10,4.2,mb,5.23576,188,2.236,0.49,us
Mei,32.0388,140.4263,84.57,4.6,mb,5.41464,119,1.191,0.72,us
Mei,31.931,140.5414,72.72,4.7,mb,5.46506,113,1.331,0.85,us
Mei,36.6434,141.788,10,4.4,mb,5.32064,125,2.882,0.71,us
Mei,36.1407,140.1535,72.44,4.2,mb,5.23576,147,1.62,0.47,us
Mei,41.4939,142.0734,58.35,4.3,mb,5.27706,131,0.963,0.7,us
