time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
2021-09-12T21:31:08.050Z,34.8195,139.9499,57.26,4.2,mb,5.23576,130,0.571,0.68,us
2021-09-12T16:36:10.229Z,37.8372,141.9857,42.47,4.4,mb,5.32064,129,3.033,0.64,us
2021-09-12T05:32:02.802Z,29.8833,139.0553,431.72,4.7,mb,5.46506,75,3.286,0.55,us
2021-09-12T02:17:04.596Z,33.0546,132.0425,49.05,4.5,mb,5.3665,84,1.676,1.01,us
2021-09-11T11:00:10.606Z,38.7574,144.2236,10,4.4,mb,5.32064,131,3.169,0.74,us
2021-09-11T02:12:02.449Z,41.1445,143.1013,38.37,4.2,mb,5.23576,151,0.87,0.89,us
2021-09-10T13:42:47.504Z,40.9779,142.5441,55.74,4.2,mb,5.23576,151,1.133,0.53,us
2021-09-10T02:10:24.732Z,31.0311,139.6106,151.6,4.3,mb,5.27706,100,2.085,0.89,us
2021-09-09T20:49:26.204Z,42.7934,143.4135,101.08,4.2,mb,5.23576,156,0.8,0.89,us
2021-09-09T04:11:49.839Z,29.353,142.1801,10,5.4,mww,5.4,46,2.248,0.54,us
2021-09-08T22:16:55.893Z,37.1179,141.5455,7.34,4.2,mb,5.23576,205,2.738,0.69,us
2021-09-08T15:49:48.549Z,33.4062,141.1856,32.02,4.6,mb,5.41464,100,1.185,1.01,us
2021-09-08T02:31:57.426Z,30.6161,141.912,14.12,4.6,mb,5.41464,131,3.065,0.59,us
2021-09-07T18:41:23.076Z,39.1866,141.8615,74.52,4.5,mb,5.3665,139,1.714,0.39,us
2021-09-07T13:25:10.499Z,35.3614,141.3875,35,4.5,mb,5.3665,100,2.592,0.24,us
2021-09-06T20:59:21.975Z,31.1673,131.4674,45.94,4.6,mb,5.41464,102,0.932,0.95,us
2021-09-06T14:50:02.419Z,42.697,145.0948,49.73,4.7,mb,5.46506,122,1.589,0.8,us
2021-09-06T01:22:11.860Z,38.0576,144.7289,10,4.4,mb,5.32064,136,3.936,0.85,us
2021-09-05T05:48:59.275Z,41.2635,142.5583,48.51,4.6,mb,5.41464,124,0.874,0.42,us
2021-09-02T19:55:05.079Z,29.1912,142.5831,10,4.6,mb,5.41464,190,2.117,0.79,us
2021-09-02T19:03:48.545Z,39.489,144.7136,10,4.4,mb,5.32064,145,2.786,0.96,us
2021-09-02T09:35:28.389Z,29.6195,141.3338,34.79,4.4,mb,5.32064,93,2.623,1.1,us
2021-09-01T23:46:06.747Z,41.4409,142.158,57.88,4.2,mb,5.23576,136,0.942,0.65,us
2021-09-01T19:17:07.386Z,37.7211,141.6871,65.05,4.6,mb,5.41464,127,3.018,0.85,us
2021-09-01T08:16:41.821Z,37.6853,141.8461,55.59,4.3,mb,5.27706,129,3.123,0.71,us
2021-08-31T20:21:10.397Z,42.5469,141.6087,106.81,3.9,mb,5.12554,90,1.266,0.6,us
2021-08-31T17:55:12.505Z,33.8182,135.3042,33.63,4,mb,5.16,106,1.192,0.46,us
2021-08-31T00:34:28.163Z,30.9932,130.3913,165.49,4.3,mb,5.27706,121,0.517,0.76,us
2021-08-29T02:17:53.053Z,35.9253,143.1154,10,4.5,mb,5.3665,171,3.909,0.67,us
2021-08-27T04:04:11.763Z,37.3693,140.3184,103.86,4.3,mb,5.27706,128,1.88,1.24,us
2021-08-26T20:49:04.823Z,36.4405,141.2803,26.49,5,mww,5,95,1.376,1.09,us
2021-08-26T20:46:07.717Z,36.4446,141.1201,34.35,4.8,mb,5.51776,128,1.309,0.78,us
2021-08-26T02:50:23.435Z,29.6189,141.4545,35,4.4,mb,5.32064,67,2.594,0.89,us
2021-08-26T02:46:39.621Z,35.9065,142.6939,10,4.5,mb,5.3665,111,3.661,0.65,us
2021-08-25T10:53:37.482Z,29.6495,141.2841,34.93,4.5,mb,5.3665,111,2.665,0.7,us
2021-08-25T10:45:45.525Z,29.5685,141.4937,35,4.4,mb,5.32064,136,2.537,1.03,us
2021-08-25T10:18:17.193Z,29.6692,141.4309,40.06,5.1,mww,5.1,51,2.648,0.72,us
2021-08-25T07:14:02.460Z,36.1057,140.1731,44.85,4.3,mb,5.27706,144,1.644,0.95,us
